,name,event_count
19,John Coltrane,1
29,Lee Morgan,1
17,Louis Armstrong,1
5,Ahmad Jamal,1
25,John Coltrane & Johnny Hartman,1
16,Cannonball Adderley,1
10,Thelonious Monk,1
14,Joe Henderson,1
1,Ella Fitzgerald,2
4,Lee Konitz,2
18,Oscar Peterson,2
12,Art Pepper,2
23,Bill Evans,3
11,Charles Mingus,3
20,Ella Fitzgerald & Louis Armstrong,3
30,Ornette Coleman,3
0,Duke Ellington,4
26,Art Blakey and the Jazz Messengers,4
22,Horace Silver,4
21,Charlie Parker,4
15,Chet Baker,4
7,Stan Getz and Joao Gilberto,4
2,Keith Jarrett,4
28,Dave Brubeck,5
27,Dizzy Gillespie,6
3,Frank Sinatra,7
9,McCoy Tyner,8
13,Billie Holiday,11
8,Chick Corea,12
6,Herbie Hancock,25
24,Count Basie,36
31,Miles Davis,45
